id:ID(AUTHOR_ID),:LABEL
Tijs van der Storm,AUTHOR
Jürgen Homann,AUTHOR
David E. Losada,AUTHOR
Laurent Dairaine,AUTHOR
Sanjay Lall,AUTHOR
John Soldatos,AUTHOR
Lucy A. D. Lockwood,AUTHOR
Guillaume Aucher,AUTHOR
Priyank Ramesh Warkhede,AUTHOR
Rafael Berlanga Llavori,AUTHOR
Anke Dittmar,AUTHOR
Andrew Neel,AUTHOR
Anna V. Kononova,AUTHOR
Paul Janecek,AUTHOR
Yoshihiro Nakaminami,AUTHOR
Bella Bose,AUTHOR
William J. Stewart,AUTHOR
S. De Backer,AUTHOR
Stephan Volmer,AUTHOR
Andrea Cristofaro,AUTHOR
Thomas Uthmann,AUTHOR
Gil-Cheol Park,AUTHOR
Michael T. Cox,AUTHOR
Patrick Pagé,AUTHOR
Roland Hücking,AUTHOR
Hongwu Qin,AUTHOR
Craig A. Lee,AUTHOR
Bernhard Schätz,AUTHOR
C. Fernández-Conde,AUTHOR
Chiara Francalanci,AUTHOR
Karel Oliva,AUTHOR
Yannis Manolopoulos,AUTHOR
Xuming He,AUTHOR
Mukesh A. Zaveri,AUTHOR
James Tam,AUTHOR
Hendrik Skubch,AUTHOR
Masaaki Kubo,AUTHOR
Olivia Rossi-Dorial,AUTHOR
Vladimir Estivill-Castro,AUTHOR
Michael I. Dekhtyar,AUTHOR
Juan Fernández-Armenta,AUTHOR
Frederik Ahlemann,AUTHOR
Alberto Bertoni,AUTHOR
Matthias M. Müller,AUTHOR
Antonio Pertusa,AUTHOR
Bernhard Westfechtel,AUTHOR
Ralph Depke,AUTHOR
Terrence W. Pratt,AUTHOR
Marco H. Terra,AUTHOR
Ulrich Hafa,AUTHOR
Fergus Toolan,AUTHOR
Mária Bieliková,AUTHOR
Michael Heuer,AUTHOR
Paul Brna,AUTHOR
Yagiz Yasaroglu,AUTHOR
Flaminio Borgonovo,AUTHOR
Ralf Bill,AUTHOR
Peter Geibel,AUTHOR
Luiz Velho,AUTHOR
Philip Samuel,AUTHOR
William B. Haskell,AUTHOR
José Ramon Méndez,AUTHOR
Miguel Gustavo Lizárraga,AUTHOR
Valeria De Antonellis,AUTHOR
Elisabeth André,AUTHOR
Scott J Turner,AUTHOR
Srdan Krstic,AUTHOR
Seelan Sundaralingam,AUTHOR
Volker Paelke,AUTHOR
Robby,AUTHOR
Romis Attux,AUTHOR
Kyhyun Um,AUTHOR
José A. Alonso-Jiménez,AUTHOR
Stephen T. C. Wong,AUTHOR
Andreas Wombacher,AUTHOR
Alain Giorgetti,AUTHOR
Helmut Mayer,AUTHOR
Jean-Claude Martin,AUTHOR
Axel Küpper,AUTHOR
Victor B. F. Gomes,AUTHOR
C. Dods,AUTHOR
Gianfranco Rossi,AUTHOR
Jean-C edric Chappelier,AUTHOR
Jean Léon Bouraoui,AUTHOR
Rolf Carlson,AUTHOR
Archana N. Vyas,AUTHOR
Stephan Fischer,AUTHOR
Adnan Amin,AUTHOR
Man-Ting Choy,AUTHOR
Plamenka Borovska,AUTHOR
Niladri B. Puhan,AUTHOR
Younjeong Lee,AUTHOR
Katja Wolf,AUTHOR
Qiao Jin,AUTHOR
Ramon Puigjaner,AUTHOR
Vijay Kumar,AUTHOR
Jörg Becker,AUTHOR
Michael Tschichholz,AUTHOR
Frank Maurer,AUTHOR
Zhao Zhou,AUTHOR
Elizabeth Hofvenschiöld,AUTHOR
Stephen Ness,AUTHOR
Isao Echizen,AUTHOR
Pedro García-Sevilla,AUTHOR
Xiaoming He,AUTHOR
Kohei Tsuda,AUTHOR
Victor K. Wei,AUTHOR
Serge Fehr,AUTHOR
Eugenio Schuster,AUTHOR
Ludovic Duponchel,AUTHOR
Yuji Aruka,AUTHOR
Wernher Behrendt,AUTHOR
Michael Hicks,AUTHOR
Yu Deng,AUTHOR
M. Teresa Escrig,AUTHOR
Adam D. Rea,AUTHOR
Marcos Nieto,AUTHOR
Jean Latour,AUTHOR
Felipe Baytelman,AUTHOR
Seppo Parkkila,AUTHOR
Andrew Begel,AUTHOR
Olga Folgueiras,AUTHOR
Yuji Inoya,AUTHOR
Neil A. M. Maiden,AUTHOR
Jean-Jacques Chabrier,AUTHOR
Jesus Leyva-Ramos,AUTHOR
Neil Jacobstein,AUTHOR
Brian Vang,AUTHOR
Franz Kummert,AUTHOR
Jianping Hu,AUTHOR
Lee Shang Ping,AUTHOR
Paul Winward,AUTHOR
Filip Železný,AUTHOR
Cesare Furlanello,AUTHOR
Marco Billi,AUTHOR
Catia Pesquita,AUTHOR
Miki Yamamoto,AUTHOR
Tim N. T. Goodman,AUTHOR
Akihiko Torii,AUTHOR
Jiannong Cao,AUTHOR
Noëlle Merle,AUTHOR
Siti Z. Z. Abidin,AUTHOR
Guillermo Leguizamón,AUTHOR
Elena Andreeva,AUTHOR
Yehoshua Perl,AUTHOR
Evert Haasdijk,AUTHOR
Eleni Mangina,AUTHOR
Anupam Chanda,AUTHOR
Daniel Cremers,AUTHOR
Sangyong Han,AUTHOR
Joan A. Pastor,AUTHOR
Morteza Moradi,AUTHOR
George Tziritas,AUTHOR
Selvia Christina,AUTHOR
Dickson M. Rugaimukamu,AUTHOR
H Harsha Pillai,AUTHOR
Marcelle Stiensta,AUTHOR
Sunghwan Kim,AUTHOR
Berlin Wu,AUTHOR
Cungen Cao,AUTHOR
Wil M. P. van der Aalst,AUTHOR
Szymon Wilk,AUTHOR
Ralph Grishman,AUTHOR
Adelmo Luis Cechin,AUTHOR
Ruonan Li,AUTHOR
Ján Sorád,AUTHOR
Zhongfu Wu,AUTHOR
Amar Nalla,AUTHOR
K. M. Mandana,AUTHOR
Seung Jei Yang,AUTHOR
Hans-Heinrich Bothe,AUTHOR
Franjo Ivancic,AUTHOR
Paul M. de Zeeuw,AUTHOR
Kevin Köser,AUTHOR
Ana Paula Carvalho Cavalcanti,AUTHOR
Ali Selamat,AUTHOR
Agnese Augello,AUTHOR
A Savitha,AUTHOR
Len Erlikh,AUTHOR
Kunal Kalra,AUTHOR
Sarah Rastkar,AUTHOR
Alain Tanguy,AUTHOR
Heidi K. Thornquist,AUTHOR
Régis C. P. Marques,AUTHOR
Rita Zrour,AUTHOR
Nora J. Rifon,AUTHOR
Marie-Luce Viaud,AUTHOR
Indradeep Ghosh,AUTHOR
Huidang Zhang,AUTHOR
Guillermo Rosés López,AUTHOR
Enrique Baeyens,AUTHOR
Alejandro Quintero,AUTHOR
Atm Ad Aerts,AUTHOR
Rituraj Roy,AUTHOR
Kurt VanLehn,AUTHOR
Gerardo Lafferriere,AUTHOR
Carlos Gershenson,AUTHOR
Li Yuan,AUTHOR
Duminda Nishantha,AUTHOR
Alan R. Feuer,AUTHOR
Dieter Fensel,AUTHOR
Hae-Ryong Bea,AUTHOR
Keith Wright,AUTHOR
Sabine Timpf,AUTHOR
Soheil Eshghi,AUTHOR
Jordi Planes,AUTHOR
Behzad Bordbar,AUTHOR
Kenji Masui,AUTHOR
Hai Zhuge,AUTHOR
Marzieh Amini,AUTHOR
Kazuyuki Ito,AUTHOR
Jin Ok Kim,AUTHOR
Fredrik Espinoza,AUTHOR
Laura Sanità,AUTHOR
Sandeep Kumar Konda,AUTHOR
Olivier Gibaru,AUTHOR
Dina Q. Goldin,AUTHOR
Misako Konda,AUTHOR
E. V. Mukhoed,AUTHOR
Guus Schreiber,AUTHOR
Robert D. Johnson,AUTHOR
Troels Frimor,AUTHOR
Leah Anderson,AUTHOR
Harikrishna D M,AUTHOR
Kobbi Nissim,AUTHOR
Dimitrios Kokkinakis,AUTHOR
Kenny Morrison,AUTHOR
Tarek N. Saadawi,AUTHOR
Gérard Chollet,AUTHOR
Amin Ramezanifar,AUTHOR
Yun-Chia Liang,AUTHOR
David Tolliver,AUTHOR
Hermann Ludwig Möller,AUTHOR
Andrew Simpson,AUTHOR
J. Rodriquez-Rosell,AUTHOR
Marcelo Eduardo Pellenz,AUTHOR
Teófilo Emídio de Campos,AUTHOR
Siddharth Raghav,AUTHOR
Katharina Anna Lehmann,AUTHOR
Thomas A. Dwyer,AUTHOR
Zhousuo Zhang,AUTHOR
Luciano Margara,AUTHOR
Marcus Komann,AUTHOR
Christian F. Tschudin,AUTHOR
Dirk Langemann,AUTHOR
Sudip K. Mazumder,AUTHOR
Theodore L. Willke,AUTHOR
Moeness G. Amin,AUTHOR
Shin-Kyu Kang,AUTHOR
Andrea Calvagna,AUTHOR
N. Hari Narayanan,AUTHOR
S. T. Tan,AUTHOR
Juan-Carlos Cubero,AUTHOR
Kyoung Min Kim,AUTHOR
Michael Fussenegger,AUTHOR
Martin V. Butz,AUTHOR
Carmelo Ragusa,AUTHOR
Zalak Dave,AUTHOR
Marcos Boullón,AUTHOR
Andreas Koch,AUTHOR
Willi Klösgen,AUTHOR
André Stork,AUTHOR
Sari Leppänen,AUTHOR
Shuxia Li,AUTHOR
Guanzheng Tan,AUTHOR
Jan Van den Bussche,AUTHOR
Michela Meo,AUTHOR
Jordi Castro,AUTHOR
Karoline Malmkjær,AUTHOR
SangJun Lee,AUTHOR
Maria Luiza Machado Campos,AUTHOR
Marc Schoenauer,AUTHOR
Mike Brayshaw,AUTHOR
Alexander Fronk,AUTHOR
Divya Kumar,AUTHOR
Vijay Krishna Menon,AUTHOR
Li Ruan,AUTHOR
Hyung-Rae Kim,AUTHOR
Dimos V. Dimarogonas,AUTHOR
Philippe A. Palanque,AUTHOR
Xuemin Shen,AUTHOR
Ulrich Gemkov,AUTHOR
Beat Ammon,AUTHOR
Christian Icking,AUTHOR
Carmen Pereira Muro,AUTHOR
Heiko Ludwig,AUTHOR
George Stephanides,AUTHOR
Huw Olivir,AUTHOR
Tomasz Nowicki,AUTHOR
Ognjen Prnjat,AUTHOR
Nevroz Sen,AUTHOR
K. Köhler,AUTHOR
Jianying Xie,AUTHOR
Won-Jong Lee,AUTHOR
Lubin G. Vulkov,AUTHOR
Cezary Orłowski,AUTHOR
Aleksandra Pizurica,AUTHOR
Iason Demiros,AUTHOR
Jens-Rainer Ohm,AUTHOR
Lawrence Mandow,AUTHOR
Preeti Jain,AUTHOR
Zahir Tari,AUTHOR
Philippe Lahire,AUTHOR
Wen-Chang Chang,AUTHOR
Richard Lenz,AUTHOR
Sang Sup An,AUTHOR
Artur Lason,AUTHOR
Daniel Coore,AUTHOR
Diamantino Freitas,AUTHOR
Jeffrey T. Scruggs,AUTHOR
Victor M. Ruiz Penichet,AUTHOR
Rachael Vincent,AUTHOR
Philip K. Brownfield,AUTHOR
Nicola Policella,AUTHOR
C. G. Biniaris,AUTHOR
Haifeng Yan,AUTHOR
Leonardo Ambrosini,AUTHOR
Daniel Bauer,AUTHOR
Peter Gerken,AUTHOR
Lina Al-Jadir,AUTHOR
Juan A. Recio-García,AUTHOR
Géza Németh,AUTHOR
Young-Joong Kim,AUTHOR
Martin F. Arlitt,AUTHOR
Marta Sabou,AUTHOR
Michael Kaplan,AUTHOR
Jung Sook Koo,AUTHOR
Jacqueline Stark,AUTHOR
Steve Crane,AUTHOR
A. W. Roscoe,AUTHOR
Ichiro Satoh,AUTHOR
Carmen Gayà,AUTHOR
Colin Boyd,AUTHOR
Karsten Tiemann,AUTHOR
Kyung Ho Sohn,AUTHOR
Robert E. Banfield,AUTHOR
Azwina M. Yusof,AUTHOR
Junbeom Yoo,AUTHOR
P. Sivakumaran,AUTHOR
Klaus Turowski,AUTHOR
Stephen A. Stanhope,AUTHOR
Arvind Gupta,AUTHOR
Björn Olsson,AUTHOR
Florian Tischler,AUTHOR
Peter Dybjer,AUTHOR
Michael A. Pechura,AUTHOR
Sun-Yuan Kung,AUTHOR
Yuji Sakata,AUTHOR
Hidehisa Nagano,AUTHOR
Marina Guetova,AUTHOR
Murat Karaorman,AUTHOR
Andy Schürr,AUTHOR
Franziska Bachmayr,AUTHOR
Yamini Thadisina,AUTHOR
Yves Bontemps,AUTHOR
Alan Dearle,AUTHOR
Ritu Sharma,AUTHOR
Rainer Isle,AUTHOR
Sergio Magdaleno-Palencia,AUTHOR
Kamran Karimi,AUTHOR
Tim Clerckx,AUTHOR
Julia C. M. van Weert,AUTHOR
Sven Casteleyn,AUTHOR
David Wagner,AUTHOR
Igor Fischer,AUTHOR
Johannes Testori,AUTHOR
Joseph D. Touch,AUTHOR
Prasad Divekar,AUTHOR
Stefano Pedemonte,AUTHOR
James Korkola,AUTHOR
Paolo D'Arco,AUTHOR
David J. Moore,AUTHOR
Sang Jo Youk,AUTHOR
Kyung-Whan Lee,AUTHOR
Jerome C. Yochelson,AUTHOR
Tim Fischer,AUTHOR
Michael R. Ewbank,AUTHOR
I. M. Leitch,AUTHOR
Mohamed Slimane,AUTHOR
Florence Sèdes,AUTHOR
Ivana Ljubić,AUTHOR
Dominic Greenwood,AUTHOR
Laurent Hazard,AUTHOR
Michael Smirnov,AUTHOR
Elio Tuci,AUTHOR
Evangelos Kotsovinos,AUTHOR
Dharmalingam Ganesan,AUTHOR
Richard Harper,AUTHOR
Shinya Oyama,AUTHOR
Sumit Kumar,AUTHOR
Peng Shi,AUTHOR
George Homsy,AUTHOR
Myung Won Kim,AUTHOR
Eiji Kawaguchi,AUTHOR
Hancao Li,AUTHOR
Yuguo He,AUTHOR
Hidekazu Tamaki,AUTHOR
Eulalia Szmidt,AUTHOR
Craig D. Shriver,AUTHOR
Joachim Wahle,AUTHOR
Omer Ishag Eldai,AUTHOR
Marco Maratea,AUTHOR
Gregory Gordon Brown,AUTHOR
Emi Izumi,AUTHOR
Luis Salgado,AUTHOR
Agostino Marcello Mangini,AUTHOR
Alexander Reinefeld,AUTHOR
Jeff Gray,AUTHOR
Virginio Cantoni,AUTHOR
Peter-Paul van Maanen,AUTHOR
Honglei Ruan,AUTHOR
Wolfgang Macherey,AUTHOR
A. John Power,AUTHOR
Amela Karahasanovic,AUTHOR
H. Kaindl,AUTHOR
Yoshiyuki Takahashi,AUTHOR
Keisuke Nagahisa,AUTHOR
Magnus Lif,AUTHOR
Koenraad De Bosschere,AUTHOR
Eliane Martins,AUTHOR
Jin’ichi Murakami,AUTHOR
Tei-Wei Kuo,AUTHOR
Manetta Lt,AUTHOR
Mahesh Chandra,AUTHOR
Qingze Zou,AUTHOR
Masayuki Abe,AUTHOR
András Pataricza,AUTHOR
Edmund Wong,AUTHOR
Lars Braubach,AUTHOR
Chaojun Dong,AUTHOR
P. M. Melliar-Smith,AUTHOR
Venkatesh Raman,AUTHOR
Shalu Singh,AUTHOR
John F. Hall,AUTHOR
Huan Qi,AUTHOR
C. Siva Ram Murthy,AUTHOR
Yufeng Xin,AUTHOR
Ulf Nilsson,AUTHOR
Colin G. Johnson,AUTHOR
James Hamilton,AUTHOR
Ebru Celikel,AUTHOR
Hana Chockler,AUTHOR
Andrey Shadrin,AUTHOR
Rajeev Joshi,AUTHOR
Robert Balzer,AUTHOR
Natalia Ioustinova,AUTHOR
G. H. Dubay,AUTHOR
Astrid Pietilä,AUTHOR
Masako Miyaji,AUTHOR
Barbara Simons,AUTHOR
Fazat Nur Azizah,AUTHOR
Etienne Dysli,AUTHOR
Helmut Schwamborn,AUTHOR
Yanchun Liang,AUTHOR
Chong Zhang,AUTHOR
Norbert Gövert,AUTHOR
P. V. V. Kishore,AUTHOR
Hugues Talbot,AUTHOR
T. Cheng,AUTHOR
Hua-hong Chen,AUTHOR
Michael E. Tipping,AUTHOR
Sebastià Galmés,AUTHOR
Martin Llamas-Nistal,AUTHOR
Stavros Konstantinidis,AUTHOR
Xin Zheng,AUTHOR
Ricardo J. Rabelo,AUTHOR
Ari Koivisto,AUTHOR
Robert Plant,AUTHOR
Rolf Niedermeier,AUTHOR
Kirk P. H. Sullivan,AUTHOR
Tianmiao Wang,AUTHOR
Panlop Zeephongsekul,AUTHOR
Dhananjay R. Thiruvady,AUTHOR
António Luís Lopes,AUTHOR
Vinícius G. P. de Sá,AUTHOR
Hjørdis Hoff,AUTHOR
Richard Mayr,AUTHOR
Alexey Furmanov,AUTHOR
Zsolt Németh,AUTHOR
Jong Seung Park,AUTHOR
Philip D. MacKenzie,AUTHOR
Luiz Fernando Gomes Soares,AUTHOR
Finn Arve Aagesen,AUTHOR
Jonghwa Choi,AUTHOR
William S. Holmes,AUTHOR
Jianwei Zhang,AUTHOR
Shirish Krishnaj Shevade,AUTHOR
Shun Liang Jiang,AUTHOR
Ackbar Joolia,AUTHOR
Nicola Millard,AUTHOR
Julie A. McCann,AUTHOR
Dhiraj Sunehra,AUTHOR
Augusto Sampaio,AUTHOR
Michael Pieroni,AUTHOR
Gerald Sterling,AUTHOR
Daniele D. Giusto,AUTHOR
Carolina González,AUTHOR
Sumayya Balkees P A,AUTHOR
Shin Nakajima,AUTHOR
P. M. Hirsch,AUTHOR
Sanjeev Sofat,AUTHOR
Maneesh Yadav,AUTHOR
Dennis Landmann,AUTHOR
Bin Jia,AUTHOR
Karl Crary,AUTHOR
Jinglong Fan,AUTHOR
Chris Vandervelpen,AUTHOR
F. Prieto,AUTHOR
Paul S. Barth,AUTHOR
Ullrich Köthe,AUTHOR
V. V. Mani,AUTHOR
Jose Torres-Jimenez,AUTHOR
Jan Guynes Clark,AUTHOR
Giorgio Valmorbida,AUTHOR
Puneet Singh,AUTHOR
Szymon Rusinkiewicz,AUTHOR
Dae-Sung Ku,AUTHOR
Soummya Kar,AUTHOR
P. Dhavachelvan,AUTHOR
Yan Wang,AUTHOR
Alessandro E. P. Villa,AUTHOR
Yi Liu,AUTHOR
Paloma de La Vallée-Poussin,AUTHOR
D. G. Spoorthy,AUTHOR
Hemant K. Jain,AUTHOR
Monique Calisti,AUTHOR
Hacène Fouchal,AUTHOR
Aomar Osmani,AUTHOR
Aamod Sane,AUTHOR
Nikhil Srivastava,AUTHOR
Suman Roy,AUTHOR
Dejan Lavbič,AUTHOR
Salaheddine Ben-Ali,AUTHOR
Johannes Steensma,AUTHOR
Youtian Du,AUTHOR
Martin Pollet,AUTHOR
G.L. Cascella,AUTHOR
Rulin Liu,AUTHOR
Fred Gruenberger,AUTHOR
A E A Almaini,AUTHOR
Hélène Renard,AUTHOR
Passent El-Kafrawy,AUTHOR
Peter Schulthess,AUTHOR
Kee-Young Yoo,AUTHOR
André Ribeiro Cardoso,AUTHOR
Mohammed H. Sqalli,AUTHOR
Laurie Quinn,AUTHOR
Martin J. Oates,AUTHOR
Nader Bagherzadeh,AUTHOR
Manfred Reichert,AUTHOR
Wen-Jeng Tzeng,AUTHOR
Krzysztof Malinowski,AUTHOR
Milena Janic,AUTHOR
Rik Van de Walle,AUTHOR
Tat-Jen Cham,AUTHOR
Noor Aida Husaini,AUTHOR
Peter F. Fisher,AUTHOR
Sungmi Chon,AUTHOR
Andrea Polini,AUTHOR
Michael Anthony Bauer,AUTHOR
T. V. Geetha,AUTHOR
Marco Fanfani,AUTHOR
Nadeem A. Khan,AUTHOR
Zhide Li,AUTHOR
Eiichi Horita,AUTHOR
Richard Riehle,AUTHOR
Vladimir Samoylov,AUTHOR
Joël Brunet,AUTHOR
Elena Verdú,AUTHOR
Peter Rodgers,AUTHOR
Pradeep Kr. Banerjee,AUTHOR
Vishal Shahi,AUTHOR
Thomas Pfisterer,AUTHOR
José M. Marqués,AUTHOR
Tinne Tuytelaars,AUTHOR
Benjamin A. Schmit,AUTHOR
Razali Yaakob,AUTHOR
Chavalit Srisathapornphat,AUTHOR
António J. S. Teixeira,AUTHOR
Martin Dzbor,AUTHOR
David Shafrir,AUTHOR
Wieland Schwinger,AUTHOR
Rakesh Mohanty,AUTHOR
Shin Woo Kim,AUTHOR
Thorsten Sturm,AUTHOR
Yujian Zhou,AUTHOR
Xin Qi,AUTHOR
Brad King,AUTHOR
Guy Pujolle,AUTHOR
Manfred Grauer,AUTHOR
Liang Gong,AUTHOR
Kenneth Chisholm,AUTHOR
Torsten Nelson,AUTHOR
Emil Gatial,AUTHOR
Michele Cermele,AUTHOR
Saif Siddique Butt,AUTHOR
Stefano Giordano,AUTHOR
Marco de Gemmis,AUTHOR
Cagri C. Tanriover,AUTHOR
Boris Kramer,AUTHOR
Tomasz Jaśkowski,AUTHOR
Gregor Kiczales,AUTHOR
Masayuki Ohta,AUTHOR
José Marinho,AUTHOR
Ay-Hwa Andy Liou,AUTHOR
Peter Calingaert,AUTHOR
Henning Homfeld,AUTHOR
Dimitri Staessens,AUTHOR
Luis T. Aguilar,AUTHOR
Yuriy Rytsar,AUTHOR
Ipsita Dutta,AUTHOR
Sateesh Reddy,AUTHOR
Sandro Coretti,AUTHOR
Zalán Heszberger,AUTHOR
Bertrand Mathieu,AUTHOR
Corinna Spermann,AUTHOR
B. Padmaja Rani,AUTHOR
Mårten Björkman,AUTHOR
Renate A. Schmidt,AUTHOR
Andriela Rääbis,AUTHOR
Ulas Vural,AUTHOR
Josep Escoda,AUTHOR
Z Tuğsel,AUTHOR
Lukas Alperowitz,AUTHOR
Deepak Agarwal,AUTHOR
Vladimir A. Rubin,AUTHOR
Jörg Heizmann,AUTHOR
Ritesh Belgudri,AUTHOR
Ronald Pose,AUTHOR
Giorgio Ventre,AUTHOR
Robert Babuska,AUTHOR
Kevin W. Froese,AUTHOR
Frank Stoinski,AUTHOR
Marcin Wasilewski,AUTHOR
Ostap Monkewich,AUTHOR
Daniel Hoehener,AUTHOR
Jin-Geol Kim,AUTHOR
Thomas W. Rauber,AUTHOR
Ju-Lan Tao,AUTHOR
Seyed Mehdi Rezaei,AUTHOR
Wang Shoujue,AUTHOR
Martin Obermeier,AUTHOR
Binoy Ravindran,AUTHOR
Christopher Kennedy,AUTHOR
Wei Chung Wu,AUTHOR
Edward Gainer,AUTHOR
Young Kyun Lee,AUTHOR
Sami Kiviluoto,AUTHOR
Pengjie Li,AUTHOR
Gábor Dózsa,AUTHOR
Franck Fourel,AUTHOR
Cristina Chesta,AUTHOR
Jingyu Yang,AUTHOR
Sašo Džeroski,AUTHOR
Bhagyalakshmi Muralidharan,AUTHOR
Manish Gupta,AUTHOR
Ki-Hong Kim,AUTHOR
Ruchika Solanki,AUTHOR
Athanasios Vaios,AUTHOR
Fei Shi,AUTHOR
Tatjana Zrimec,AUTHOR
I. René J. A. te Boekhorst,AUTHOR
Mohd Fadzil Hassan,AUTHOR
Md. Nazrul Islam Mondal,AUTHOR
Agnes Radl,AUTHOR
Vyacheslav Marakhovsky,AUTHOR
Georgios Paliouras,AUTHOR
Mathieu Roche,AUTHOR
Christophe Strobbe,AUTHOR
John W. Coffey,AUTHOR
Nina Yevtushenko,AUTHOR
Paolo Maggi,AUTHOR
Pradeep Varma,AUTHOR
Ming-Hui Chu,AUTHOR
Jacob T. Schwartz,AUTHOR
Yisong Zheng,AUTHOR
Holger Pals,AUTHOR
Shyam Diwakar,AUTHOR
Koji Yamashita,AUTHOR
Frank Yeong-Sung Lin,AUTHOR
Jaakko Kurhila,AUTHOR
M. Sabarimalai Manikandan,AUTHOR
Anton H.J. de Ruiter,AUTHOR
Cristian Bernareggi,AUTHOR
M. Kamel,AUTHOR
Masakazu Koike,AUTHOR
Do-Hyeon Kim,AUTHOR
Olivier Coulon,AUTHOR
Alexandre Noma,AUTHOR
Maria G. Jafari,AUTHOR
Daniele Tonetto,AUTHOR
Heiko Hirschmüller,AUTHOR
Thomas J. Misa,AUTHOR
Carmine Ciavarella,AUTHOR
Josep Español,AUTHOR
Liu Lie-li,AUTHOR
Socorro Millán,AUTHOR
Nicola Elia,AUTHOR
Carlos Vazquez,AUTHOR
Dante Augusto Couto Barone,AUTHOR
Simon Radel,AUTHOR
Selin Aviyente,AUTHOR
Bill Bordogna,AUTHOR
Takeshi Yamamoto,AUTHOR
Sylvie Galichet,AUTHOR
James F. Courtney,AUTHOR
Walt Teh-Ming Yao,AUTHOR
Rza Bashirov,AUTHOR
Weihua Sheng,AUTHOR
Didier Nicholson,AUTHOR
Damien Stehlé,AUTHOR
J. Martin-Rello,AUTHOR
George M. Mathews,AUTHOR
Giorgio Vassallo,AUTHOR
Akira Shimazu,AUTHOR
Jérôme Dossogne,AUTHOR
Ryan Loxton,AUTHOR
Akihiro Yagi,AUTHOR
Michael Wooldridge,AUTHOR
Elisabetta Punta,AUTHOR
Keith Wansbrough,AUTHOR
M. Bertocco,AUTHOR
Burak Büke,AUTHOR
Joanna Moulierac,AUTHOR
Hans-Rüdiger Wiehle,AUTHOR
Tae Soo Kim,AUTHOR
Ki-Joune Li,AUTHOR
Saul Gorn,AUTHOR
Barry Downes,AUTHOR
Ulrike Becker-Kornstaedt,AUTHOR
Marie-Claude Gaudel,AUTHOR
Paul Stankiewicz,AUTHOR
Xiaofeng Gong,AUTHOR
David Escobar Sanabria,AUTHOR
Francesco Bernardini,AUTHOR
Alexandre Scaico,AUTHOR
Hsu-Chun Yen,AUTHOR
Dan Corbett,AUTHOR
Tom Mens,AUTHOR
Arturo J. Méndez,AUTHOR
Guillaume Potard,AUTHOR
G. Ram Mohana Reddy,AUTHOR
Francesc Prats,AUTHOR
Branislav Simo,AUTHOR
